programming,maths,communication,logic,self_learning,projects_completed,years_experience,internships,gpa,career
77,81,64,80,0,5,3,1,8.6,HR
55,61,91,70,0,1,1,0,8.6,Software
59,61,85,67,0,1,0,0,8.6,Teacher
82,89,61,84,1,3,2,0,8.6,HR
62,71,84,74,1,1,1,0,8.6,HR
55,64,93,75,0,1,0,0,8.6,Teacher
84,89,60,80,1,6,4,1,8.6,Software
57,61,83,66,1,1,1,0,8.6,Teacher
82,85,68,87,1,4,1,1,8.6,HR
84,75,62,80,1,5,4,1,8.6,Software
89,72,71,83,1,4,1,1,8.6,Software
59,61,93,73,0,1,1,1,8.6,Teacher
63,62,85,79,1,3,1,0,8.6,Teacher
53,67,94,69,1,1,1,1,8.6,Teacher
87,82,64,76,1,7,3,1,8.6,Software
91,85,56,83,1,7,3,1,8.6,Software
81,94,70,75,0,4,1,1,8.6,HR
52,77,80,78,0,2,1,1,8.6,Teacher
67,94,62,81,1,4,2,1,8.6,HR
93,78,67,86,1,6,4,1,8.6,Software
72,85,60,82,1,4,2,1,8.6,HR
60,73,87,76,0,3,0,0,8.6,Teacher
59,68,90,79,1,1,0,1,8.6,Teacher
83,81,65,81,1,6,2,1,8.6,Software
68,68,84,65,0,3,0,0,8.6,Teacher
75,89,75,83,1,6,1,1,8.6,HR
88,89,71,85,1,5,1,1,8.6,Software
62,74,81,67,0,2,0,0,8.6,Teacher
68,65,82,74,1,1,0,0,8.6,Teacher
82,88,60,80,1,3,1,0,8.6,HR
89,77,55,84,1,5,2,1,8.6,Software
89,82,69,89,1,7,2,1,8.6,Software
54,63,82,79,1,2,0,0,8.6,Teacher
65,78,89,74,0,1,1,0,8.6,Teacher
91,78,59,75,1,5,1,1,8.6,Software
66,75,86,74,1,3,1,1,8.6,Teacher
67,70,90,76,1,1,1,1,8.6,Teacher
75,87,69,83,0,5,1,0,8.6,HR
85,78,63,80,1,4,1,1,8.6,Software
79,93,61,78,1,4,2,1,8.6,HR
82,73,65,87,1,5,2,1,8.6,Software
55,79,80,68,1,2,1,1,8.6,Teacher
80,85,66,79,1,4,4,1,8.6,Software
60,70,81,79,1,1,1,1,8.6,Teacher
80,89,60,77,1,4,4,1,8.6,Software
73,91,63,79,0,5,2,1,8.6,HR
65,74,90,72,0,3,0,1,8.6,Teacher
83,89,78,88,0,5,2,0,8.6,HR
93,73,65,76,1,7,1,1,8.6,Software
92,81,57,80,1,6,1,1,8.6,Software
56,66,80,66,1,1,1,0,8.6,Teacher
75,93,66,77,0,4,2,0,8.6,HR
65,81,61,81,0,6,3,1,8.6,HR
66,60,80,78,0,2,1,1,8.6,Teacher
88,86,61,84,1,7,3,1,8.6,Software
87,88,63,85,1,6,4,1,8.6,Software
84,82,60,86,0,3,2,1,8.6,HR
52,79,89,65,0,3,1,0,8.6,HR
75,89,74,81,0,4,3,1,8.6,HR
83,82,73,77,1,7,3,1,8.6,Software
65,68,90,70,0,1,0,0,8.6,Teacher
82,82,70,86,1,7,4,1,8.6,Software
67,63,81,70,1,3,0,0,8.6,Teacher
86,83,68,78,1,6,1,1,8.6,Software
54,60,80,67,1,2,0,1,8.6,Teacher
62,74,80,70,1,2,0,1,8.6,Teacher
76,84,60,88,0,3,1,0,8.6,HR
66,75,92,72,1,2,0,0,8.6,Teacher
58,67,86,69,0,3,0,0,8.6,Teacher
92,77,73,87,1,6,1,1,8.6,Software
62,64,86,67,0,1,0,0,8.6,Teacher
66,75,94,79,0,3,0,0,8.6,Teacher
65,80,76,77,1,4,2,0,8.6,HR
53,78,92,68,1,3,0,0,8.6,Teacher
54,79,87,71,0,3,0,1,8.6,Teacher
78,82,63,88,0,3,3,1,8.6,HR
57,78,87,66,1,3,1,0,8.6,Teacher
68,88,66,76,0,6,1,1,8.6,HR
82,80,66,76,0,6,1,1,8.6,HR
81,85,64,85,1,6,3,0,8.6,HR
